"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.4","seurat_clusters","celltype","age"
"X1772096_114_B01","X1772096",12349,3358,"2","2","mNbL","E13.5"
"X1772094_158_H06","X1772094",11945,3873,"2","2","mNbL","E11.5"
"X1772094_156_C12","X1772094",11561,3141,"2","2","mNbL","E11.5"
"X1772094_166_A10","X1772094",11099,3505,"11","11","mNbL","E12.5"
"X1772094_158_D10","X1772094",5810,2260,"2","2","mNbL","E11.5"
"X1772092_007_H10","X1772092",9436,2927,"2","2","mNbL","E11.5"
"X1772092_007_G12","X1772092",8146,2603,"2","2","mNbL","E11.5"
"X1772071_050_C05","X1772071",7695,2417,"2","2","mNbL","E12.5"
"X1772092_007_C05","X1772092",8953,2938,"2","2","mNbL","E11.5"
"X1772092_007_H03","X1772092",10238,2823,"2","2","mNbL","E11.5"
"X1772094_156_B07","X1772094",13003,3476,"2","2","mNbL","E11.5"
"X1772094_156_D10","X1772094",5448,2056,"2","2","mNbL","E11.5"
"X1772096_115_B02","X1772096",11973,3774,"2","2","mNbL","E13.5"
"X1772096_111_B11","X1772096",10360,3733,"2","2","mNbL","E13.5"
"X1772094_161_C08","X1772094",7725,2527,"2","2","mNbL","E11.5"
"X1772094_161_A09","X1772094",10448,3248,"2","2","mNbL","E11.5"
"X1772094_146_B11","X1772094",11873,3132,"2","2","mNbL","E11.5"
"X1772092_007_E12","X1772092",9073,2910,"2","2","mNbL","E11.5"
"X1772092_007_C02","X1772092",11696,3738,"2","2","mNbL","E11.5"
"X1772092_006_E05","X1772092",11672,3217,"2","2","mNbL","E11.5"
"X1772094_159_H01","X1772094",6921,2472,"9","9","mNbL","E11.5"
"X1772094_171_H11","X1772094",7117,3141,"9","9","mNbL","E12.5"
"X1772094_163_H08","X1772094",6509,2441,"2","2","mNbL","E12.5"
"X1772094_169_D08","X1772094",9668,3747,"9","9","mNbL","E12.5"
"X1772094_169_C06","X1772094",8734,3821,"9","9","mNbL","E12.5"
"X1772094_171_B07","X1772094",12303,4341,"9","9","mNbL","E12.5"
"X1772096_114_E08","X1772096",7993,2925,"2","2","mNbL","E13.5"
"X1772094_166_F12","X1772094",5833,2082,"2","2","mNbL","E12.5"
"X1772094_169_B09","X1772094",6796,3201,"9","9","mNbL","E12.5"
"X1772094_171_D09","X1772094",7222,3270,"9","9","mNbL","E12.5"
"X1772094_171_E06","X1772094",5430,2624,"9","9","mNbL","E12.5"
"X1772094_169_C01","X1772094",8991,3375,"9","9","mNbL","E12.5"
"X1772094_169_F02","X1772094",8064,3359,"9","9","mNbL","E12.5"
"X1772094_171_H06","X1772094",5875,2674,"9","9","mNbL","E12.5"
"X1772094_171_F01","X1772094",7739,3347,"9","9","mNbL","E12.5"
"X1772094_171_G03","X1772094",10990,4180,"9","9","mNbL","E12.5"
"X1772094_159_D08","X1772094",5428,2033,"9","9","mNbL","E11.5"
"X1772094_169_B03","X1772094",5447,2621,"9","9","mNbL","E12.5"
"X1772094_169_F05","X1772094",6816,3140,"9","9","mNbL","E12.5"
"X1772094_169_E04","X1772094",8529,3315,"9","9","mNbL","E12.5"
"X1772094_171_G01","X1772094",7346,3206,"9","9","mNbL","E12.5"
"X1772094_169_A09","X1772094",5968,2843,"9","9","mNbL","E12.5"
"X1772096_115_D12","X1772096",12467,3432,"8","8","mNbL","E13.5"
"X1772094_169_A07","X1772094",6040,2827,"9","9","mNbL","E12.5"
"X1772094_171_F03","X1772094",8731,3402,"9","9","mNbL","E12.5"
"X1772094_171_G09","X1772094",8638,3522,"9","9","mNbL","E12.5"
"X1772094_169_F09","X1772094",11189,4238,"9","9","mNbL","E12.5"
"X1772096_114_C04","X1772096",10242,3259,"9","9","mNbL","E13.5"
"X1772094_169_C02","X1772094",6375,2823,"9","9","mNbL","E12.5"
"X1772094_171_E01","X1772094",7424,3178,"9","9","mNbL","E12.5"
"X1772094_171_F09","X1772094",6336,2915,"9","9","mNbL","E12.5"
"X1772094_171_A06","X1772094",6689,2884,"9","9","mNbL","E12.5"
"X1772094_171_F02","X1772094",7849,3283,"9","9","mNbL","E12.5"
"X1772094_169_C09","X1772094",8004,3448,"9","9","mNbL","E12.5"
"X1772094_159_G03","X1772094",5135,1968,"9","9","mNbL","E11.5"
"X1772094_171_E07","X1772094",8271,3385,"9","9","mNbL","E12.5"
"X1772094_169_C10","X1772094",6245,3009,"9","9","mNbL","E12.5"
"X1772094_171_A12","X1772094",4002,1998,"9","9","mNbL","E12.5"
"X1772094_171_E05","X1772094",11082,4031,"9","9","mNbL","E12.5"
"X1772066_091_D09","X1772066",8154,3057,"1","1","mNbL","E14.5"
"X1772094_169_E12","X1772094",6180,2859,"9","9","mNbL","E12.5"
"X1772094_159_C03","X1772094",4227,1740,"9","9","mNbL","E11.5"
"X1772094_169_C04","X1772094",5469,2631,"9","9","mNbL","E12.5"
"X1772094_169_E02","X1772094",6954,2944,"9","9","mNbL","E12.5"
"X1772094_166_E08","X1772094",7281,2902,"9","9","mNbL","E12.5"
"X1772094_169_F03","X1772094",7771,3418,"9","9","mNbL","E12.5"
"X1772094_166_F08","X1772094",10237,3643,"9","9","mNbL","E12.5"
"X1772094_169_C03","X1772094",9801,3755,"2","2","mNbL","E12.5"
"X1771013_153_E06","X1771013",4351,1987,"2","2","mNbML","E12.5"
"X1772094_173_A10","X1772094",8016,2935,"2","2","mNbML","E14.5"
"X1772094_144_A12","X1772094",6149,2524,"2","2","mNbML","E11.5"
"X1772094_146_F10","X1772094",7347,2522,"8","8","mNbML","E11.5"
"X1772092_007_E03","X1772092",6680,2377,"2","2","mNbML","E11.5"
"X1772096_114_H06","X1772096",7024,2457,"2","2","mNbML","E13.5"
"X1771013_153_C05","X1771013",4504,2045,"2","2","mNbML","E12.5"
"X1771013_108_A05","X1771013",3703,1589,"2","2","mNbML","E12.5"
"X1772094_144_F09","X1772094",8680,2796,"2","2","mNbML","E11.5"
"X1772096_112_H06","X1772096",6780,2298,"2","2","mNbML","E13.5"
"X1771013_118_F03","X1771013",7797,2410,"8","8","mNbML","E11.5"
"X1772092_006_B09","X1772092",9929,2930,"2","2","mNbML","E11.5"
"X1772075_303_A11","X1772075",8145,2288,"2","2","mNbML","E13.5"
"X1771013_118_B09","X1771013",7317,2499,"2","2","mNbML","E11.5"
"X1772094_146_H02","X1772094",6595,2614,"2","2","mNbML","E11.5"
"X1772094_156_A08","X1772094",6055,2396,"2","2","mNbML","E11.5"
"X1771013_153_C09","X1771013",5813,2409,"2","2","mNbML","E12.5"
"X1772094_146_A08","X1772094",7322,2526,"2","2","mNbML","E11.5"
"X1771013_118_C03","X1771013",6433,1906,"2","2","mNbML","E11.5"
"X1772092_006_C10","X1772092",7207,2257,"2","2","mNbML","E11.5"
"X1772071_065_A09","X1772071",14776,2959,"2","2","mNbML","E13.5"
"X1772092_007_H12","X1772092",11851,3011,"2","2","mNbML","E11.5"
"X1772094_156_F06","X1772094",6027,2202,"2","2","mNbML","E11.5"
"X1771013_111_G09","X1771013",6500,2777,"2","2","mNbML","E11.5"
"X1772092_007_G11","X1772092",8287,2654,"2","2","mNbML","E11.5"
"X1772094_166_D11","X1772094",2958,1381,"2","2","mNbML","E12.5"
"X1772071_050_E05","X1772071",5250,1815,"2","2","mNbML","E12.5"
"X1772071_050_A12","X1772071",5462,2150,"2","2","mNbML","E12.5"
"X1772094_156_F05","X1772094",5534,2114,"2","2","mNbML","E11.5"
"X1771013_118_F07","X1771013",5151,1660,"2","2","mNbML","E11.5"
"X1772094_146_B10","X1772094",9792,2716,"8","8","mNbML","E11.5"
"X1772094_146_A10","X1772094",7047,2451,"5","5","mNbML","E11.5"
"X1771013_118_C02","X1771013",5397,1527,"2","2","mNbML","E11.5"
"X1772094_156_A12","X1772094",5268,2269,"2","2","mNbML","E11.5"
"X1772094_144_D09","X1772094",6980,2310,"2","2","mNbML","E11.5"
"X1772096_112_E09","X1772096",6881,2153,"2","2","mNbML","E13.5"
"X1772094_169_F04","X1772094",6686,2726,"9","9","mNbML","E12.5"
"X1772096_115_A09","X1772096",7125,2384,"2","2","mNbML","E13.5"
"X1772071_065_F05","X1772071",12463,2481,"2","2","mNbML","E13.5"
"X1772094_171_D05","X1772094",8755,3423,"9","9","mNbML","E12.5"
"X1772096_115_C11","X1772096",8300,2481,"2","2","mNbML","E13.5"
"X1772096_114_D10","X1772096",5356,1887,"2","2","mNbML","E13.5"
"X1772094_166_C02","X1772094",6351,2326,"2","2","mNbML","E12.5"
"X1772096_115_G05","X1772096",6880,2324,"2","2","mNbML","E13.5"
"X1772096_112_D12","X1772096",8490,2805,"2","2","mNbML","E13.5"
"X1771013_108_G07","X1771013",5233,2412,"2","2","mNbML","E12.5"
"X1772071_049_D11","X1772071",13880,2955,"2","2","mNbML","E12.5"
"X1772092_006_D04","X1772092",10391,2865,"2","2","mNbML","E11.5"
"X1772094_158_H11","X1772094",5055,2120,"2","2","mNbML","E11.5"
"X1772094_163_H07","X1772094",7265,2406,"2","2","mNbML","E12.5"
"X1772096_112_H12","X1772096",14742,3869,"2","2","mNbML","E13.5"
"X1772071_049_B02","X1772071",14160,3175,"2","2","mNbML","E12.5"
"X1772096_111_D09","X1772096",6278,2470,"2","2","mNbML","E13.5"
"X1772071_065_F12","X1772071",7732,1943,"2","2","mNbML","E13.5"
"X1772096_111_A11","X1772096",6341,2842,"2","2","mNbML","E13.5"
"X1772071_049_B05","X1772071",8387,2451,"5","5","mNbML","E12.5"
"X1772096_115_D10","X1772096",4656,1920,"3","3","mNbML","E13.5"
"X1771013_013_D06","X1771013",5057,1591,"5","5","mNbML","E11.5"
"X1772094_161_B02","X1772094",7390,2708,"5","5","mNbML","E11.5"
"X1772092_007_D02","X1772092",7481,2533,"5","5","mNbML","E11.5"
"X1772071_050_D05","X1772071",10602,3093,"5","5","mNbML","E12.5"
"X1772096_114_F11","X1772096",5620,2066,"5","5","mNbML","E13.5"
"X1772094_156_B04","X1772094",5200,2071,"5","5","mNbML","E11.5"
"X1772094_156_C04","X1772094",6233,2252,"5","5","mNbML","E11.5"
"X1772094_163_E12","X1772094",3406,1208,"5","5","mNbML","E12.5"
"X1772071_065_E05","X1772071",6089,1745,"3","3","mNbML","E13.5"
"X1772071_049_G02","X1772071",6517,2131,"5","5","mNbML","E12.5"
"X1772094_172_A10","X1772094",5661,2400,"3","3","mNbML","E14.5"
"X1772066_085_E12","X1772066",4958,1746,"5","5","mNbML","E15.5"
"X1772066_091_D05","X1772066",4595,1985,"5","5","mNbML","E14.5"
"X1772096_112_E06","X1772096",7089,2160,"3","3","mNbML","E13.5"
"X1772096_114_E06","X1772096",9533,2913,"11","11","mNbML","E13.5"
"X1772071_048_E01","X1772071",5427,2154,"3","3","mNbML","E15.5"
"X1772094_156_A11","X1772094",5660,2157,"3","3","mNbML","E11.5"
"X1772075_300_B02","X1772075",5175,2008,"3","3","mNbML","E15.5"
"X1772066_093_D12","X1772066",4252,1531,"3","3","mNbML","E14.5"
"X1772094_166_C01","X1772094",3179,1605,"9","9","mNbML","E12.5"
"X1772094_174_G03","X1772094",2703,1483,"9","9","mNbML","E14.5"
"X1772071_065_F07","X1772071",7826,2027,"11","11","mNbML","E13.5"
"X1772094_171_A08","X1772094",4417,2324,"9","9","mNbML","E12.5"
"X1772066_093_H10","X1772066",4085,2081,"3","3","mNbML","E14.5"
"X1772096_112_D03","X1772096",7251,2502,"3","3","mNbML","E13.5"
"X1772094_144_B03","X1772094",6502,2219,"5","5","mNbML","E11.5"
"X1772071_050_H02","X1772071",5262,1853,"5","5","mNbML","E12.5"
"X1772094_163_D02","X1772094",5532,2215,"5","5","mNbML","E12.5"
"X1772071_049_D09","X1772071",13074,2954,"5","5","mNbML","E12.5"
"X1772066_091_F06","X1772066",7114,2174,"3","3","mNbML","E14.5"
"X1772094_171_D11","X1772094",4202,2219,"9","9","mNbML","E12.5"
"X1772094_174_C06","X1772094",4728,2232,"10","10","mNbML","E14.5"
"X1772066_093_H08","X1772066",4283,1933,"3","3","mNbML","E14.5"
"X1772072_247_E08","X1772072",2823,1299,"14","14","mNbML","E18.5"
"X1772066_085_E01","X1772066",3432,1624,"3","3","mNbML","E15.5"
"X1772066_091_E01","X1772066",4605,1952,"14","14","mNbML","E14.5"
"X1771013_118_C12","X1771013",23931,1585,"5","5","mNbML","E11.5"
"X1772072_249_G01","X1772072",7325,3171,"4","4","mNbML","E18.5"
"X1772075_303_D10","X1772075",5990,1934,"5","5","mNbML","E13.5"
"X1772094_169_F10","X1772094",4815,2390,"9","9","mNbML","E12.5"
"X1772092_006_A09","X1772092",6482,2234,"5","5","mNbML","E11.5"
"X1771013_118_H01","X1771013",8829,2464,"5","5","mNbML","E11.5"
"X1772071_049_C08","X1772071",7131,2418,"5","5","mNbML","E12.5"
"X1772075_302_E05","X1772075",9246,2298,"5","5","mNbML","E13.5"
"X1772066_085_H03","X1772066",4283,1730,"3","3","mNbML","E15.5"
"X1772071_046_A12","X1772071",6061,2396,"10","10","mNbML","E15.5"
"X1772066_085_E08","X1772066",3686,1652,"10","10","mNbML","E15.5"
"X1772075_302_H10","X1772075",7203,1971,"5","5","mNbML","E13.5"
"X1772071_050_E08","X1772071",4395,1732,"5","5","mNbML","E12.5"
"X1772071_050_D08","X1772071",6022,2097,"3","3","mNbML","E12.5"
"X1772094_169_E08","X1772094",9199,3496,"2","2","mNbML","E12.5"
"X1772094_171_A10","X1772094",6069,2809,"9","9","mNbML","E12.5"
"X1772096_115_C08","X1772096",6318,2334,"8","8","mNbML","E13.5"
"X1772066_093_E08","X1772066",4096,1641,"3","3","mNbML","E14.5"
"X1772075_302_B10","X1772075",10970,2766,"11","11","mNbML","E13.5"
"X1772094_161_G05","X1772094",3933,1462,"8","8","mNbM","E11.5"
"X1772094_166_G04","X1772094",15095,3770,"8","8","mNbM","E12.5"
"X1772094_144_H09","X1772094",5065,1826,"8","8","mNbM","E11.5"
"X1771013_013_E12","X1771013",7684,1670,"8","8","mNbM","E11.5"
"X1772096_112_B09","X1772096",5026,1822,"8","8","mNbM","E13.5"
"X1772094_166_G12","X1772094",6990,2188,"8","8","mNbM","E12.5"
"X1772094_171_C01","X1772094",7605,3203,"8","8","mNbM","E12.5"
"X1772092_006_G07","X1772092",6752,2221,"8","8","mNbM","E11.5"
"X1772094_163_F11","X1772094",11365,3975,"8","8","mNbM","E12.5"
"X1772094_163_C04","X1772094",6616,2232,"8","8","mNbM","E12.5"
"X1772094_169_F06","X1772094",8519,3223,"9","9","mNbM","E12.5"
"X1771013_013_G06","X1771013",5931,1391,"5","5","mNbM","E11.5"
"X1772094_163_F06","X1772094",4708,1801,"8","8","mNbM","E12.5"
"X1772096_114_C12","X1772096",5116,1906,"8","8","mNbM","E13.5"
"X1772096_111_H06","X1772096",6581,2413,"8","8","mNbM","E13.5"
"X1772092_006_G04","X1772092",4990,1942,"8","8","mNbM","E11.5"
"X1772071_049_A05","X1772071",6454,2317,"8","8","mNbM","E12.5"
"X1771013_013_H04","X1771013",5294,1448,"5","5","mNbM","E11.5"
"X1771013_113_C08","X1771013",3809,1573,"8","8","mNbM","E11.5"
"X1772094_146_D05","X1772094",5125,1780,"8","8","mNbM","E11.5"
"X1772094_163_G03","X1772094",2922,1157,"8","8","mNbM","E12.5"
"X1771013_013_D02","X1771013",9298,1935,"8","8","mNbM","E11.5"
"X1771013_111_C05","X1771013",4066,1890,"8","8","mNbM","E11.5"
"X1771013_113_G10","X1771013",5846,2386,"8","8","mNbM","E11.5"
"X1772094_163_F04","X1772094",7111,2262,"8","8","mNbM","E12.5"
"X1772094_163_A12","X1772094",6220,2217,"8","8","mNbM","E12.5"
"X1771013_113_C02","X1771013",6233,2564,"8","8","mNbM","E11.5"
"X1772071_049_B10","X1772071",12273,2804,"8","8","mNbM","E12.5"
"X1772094_146_E06","X1772094",8158,2561,"8","8","mNbM","E11.5"
"X1772075_302_G09","X1772075",9945,2758,"8","8","mNbM","E13.5"
"X1772094_144_B06","X1772094",5557,2316,"8","8","mNbM","E11.5"
"X1772094_146_C02","X1772094",4756,1802,"8","8","mNbM","E11.5"
"X1771013_118_C06","X1771013",5052,1519,"5","5","mNbM","E11.5"
"X1772094_163_B07","X1772094",5312,2031,"8","8","mNbM","E12.5"
"X1771013_111_A06","X1771013",3224,1487,"8","8","mNbM","E11.5"
"X1772094_163_F05","X1772094",4266,1628,"5","5","mNbM","E12.5"
"X1772096_115_F10","X1772096",6107,2444,"8","8","mNbM","E13.5"
"X1772094_161_E07","X1772094",5994,1947,"8","8","mNbM","E11.5"
"X1772094_166_F11","X1772094",5437,1932,"7","7","mNbM","E12.5"
"X1771013_118_G07","X1771013",7542,2138,"8","8","mNbM","E11.5"
"X1772094_146_E10","X1772094",3952,1393,"8","8","mNbM","E11.5"
"X1772094_144_F10","X1772094",4430,1654,"8","8","mNbM","E11.5"
"X1772094_146_D10","X1772094",4319,1651,"8","8","mNbM","E11.5"
"X1772096_114_A08","X1772096",5173,1932,"8","8","mNbM","E13.5"
"X1772094_163_E09","X1772094",5755,2014,"8","8","mNbM","E12.5"
"X1772094_166_C03","X1772094",4257,1752,"8","8","mNbM","E12.5"
"X1772071_050_B07","X1772071",5779,2045,"5","5","mNbM","E12.5"
"X1772094_171_D08","X1772094",8419,3434,"9","9","mNbM","E12.5"
"X1772096_115_G04","X1772096",5230,1977,"5","5","mNbM","E13.5"
"X1771013_153_D11","X1771013",2607,1274,"8","8","mNbM","E12.5"
"X1772096_112_A07","X1772096",4808,1669,"8","8","mNbM","E13.5"
"X1772094_144_G04","X1772094",6048,2102,"5","5","mNbM","E11.5"
"X1772094_166_E02","X1772094",6936,2435,"8","8","mNbM","E12.5"
"X1772075_302_D08","X1772075",6862,1974,"8","8","mNbM","E13.5"
"X1772094_169_H12","X1772094",5802,2727,"8","8","mNbM","E12.5"
"X1772094_171_F11","X1772094",6479,2738,"8","8","mNbM","E12.5"
"X1772094_144_H06","X1772094",4323,1772,"8","8","mNbM","E11.5"
"X1771013_110_A03","X1771013",4875,1886,"8","8","mNbM","E11.5"
"X1772075_302_B11","X1772075",15863,3575,"8","8","mNbM","E13.5"
"X1772094_146_A03","X1772094",4193,1770,"8","8","mNbM","E11.5"
"X1771013_108_G12","X1771013",4701,2088,"8","8","mNbM","E12.5"
"X1772094_169_B10","X1772094",6244,2847,"9","9","mNbML","E12.5"
"X1771013_013_C07","X1771013",6538,1416,"5","5","mNbML","E11.5"
"X1771013_153_H11","X1771013",6673,2890,"9","9","mNbML","E12.5"
"X1771013_111_A07","X1771013",7065,2781,"8","8","mNbML","E11.5"
"X1771013_153_B07","X1771013",7170,2621,"8","8","mNbML","E12.5"
"X1771013_013_H03","X1771013",6183,1443,"5","5","mNbML","E11.5"
"X1772094_166_G09","X1772094",2937,1408,"9","9","mNbML","E12.5"
"X1772096_112_A10","X1772096",5737,2039,"11","11","mNbML","E13.5"
"X1772094_163_E01","X1772094",4585,1582,"5","5","mNbML","E12.5"
"X1772092_007_C10","X1772092",6848,2194,"8","8","mNbML","E11.5"
"X1772094_169_F11","X1772094",5294,2484,"9","9","mNbML","E12.5"
"X1771013_118_A08","X1771013",7509,2140,"5","5","mNbML","E11.5"
"X1771013_013_D04","X1771013",5548,1435,"5","5","mNbML","E11.5"
"X1772094_158_F05","X1772094",4971,2034,"5","5","mNbML","E11.5"
"X1772096_111_D12","X1772096",6788,2512,"5","5","mNbML","E13.5"
"X1772094_158_C06","X1772094",5755,2031,"5","5","mNbML","E11.5"
"X1772094_161_E01","X1772094",4209,1556,"5","5","mNbML","E11.5"
"X1772092_006_B01","X1772092",4565,1965,"8","8","mNbML","E11.5"
"X1772094_146_F07","X1772094",5824,2081,"5","5","mNbML","E11.5"
"X1772094_163_G02","X1772094",9139,2798,"5","5","mNbML","E12.5"
"X1771013_013_G10","X1771013",3022,1135,"4","4","mNbML","E11.5"
"X1772071_049_A10","X1772071",4720,2111,"5","5","mNbML","E12.5"
"X1771013_110_E07","X1771013",7427,2901,"11","11","mNbML","E11.5"
"X1771013_013_A06","X1771013",7379,1896,"5","5","mNbML","E11.5"
"X1772094_159_E02","X1772094",5405,2063,"5","5","mNbML","E11.5"
"X1772092_006_E07","X1772092",10070,3269,"8","8","mNbML","E11.5"
"X1772094_169_A04","X1772094",6714,3146,"9","9","mNbML","E12.5"
"X1772094_146_G03","X1772094",5287,1972,"8","8","mNbML","E11.5"
"X1772094_163_D04","X1772094",6593,2211,"5","5","mNbML","E12.5"
"X1772094_169_E11","X1772094",3730,2026,"9","9","mNbML","E12.5"
"X1772094_171_E12","X1772094",7051,3248,"9","9","mNbML","E12.5"
"X1772071_050_F01","X1772071",5875,2228,"5","5","mNbML","E12.5"
"X1772094_158_E12","X1772094",2585,1242,"5","5","mNbML","E11.5"
"X1772094_166_B08","X1772094",6041,2260,"5","5","mNbML","E12.5"
"X1771013_013_C04","X1771013",3647,1179,"5","5","mNbML","E11.5"
"X1771013_013_C05","X1771013",2942,1092,"5","5","mNbML","E11.5"
"X1772094_171_A09","X1772094",8021,3216,"9","9","mNbML","E12.5"
"X1772071_049_C05","X1772071",9653,2532,"5","5","mNbML","E12.5"
"X1772071_049_G12","X1772071",8626,2205,"5","5","mNbML","E12.5"
"X1772094_161_D09","X1772094",5169,1915,"5","5","mNbML","E11.5"
"X1772092_006_E11","X1772092",7927,2677,"5","5","mNbML","E11.5"
"X1772071_049_A12","X1772071",12292,2365,"5","5","mNbML","E12.5"
"X1772094_158_E10","X1772094",5301,2134,"5","5","mNbML","E11.5"
"X1772094_144_H11","X1772094",7694,2522,"5","5","mNbML","E11.5"
"X1772094_158_G06","X1772094",4301,1789,"8","8","mNbML","E11.5"
"X1772094_166_E12","X1772094",5578,1892,"5","5","mNbML","E12.5"
"X1771013_111_E10","X1771013",3472,1644,"5","5","mNbML","E11.5"
"X1772094_159_A09","X1772094",7883,2631,"5","5","mNbML","E11.5"
"X1772071_050_A03","X1772071",4576,1748,"5","5","mNbML","E12.5"
"X1772071_065_C01","X1772071",5339,1881,"5","5","mNbML","E13.5"
"X1771013_110_G01","X1771013",3917,1746,"5","5","mNbML","E11.5"
"X1771013_118_A11","X1771013",3858,1169,"5","5","mNbML","E11.5"
"X1771013_013_B06","X1771013",5356,1388,"14","14","mNbML","E11.5"
"X1771013_118_D04","X1771013",4971,1491,"8","8","mNbML","E11.5"
"X1772094_158_H02","X1772094",6462,2435,"5","5","mNbML","E11.5"
"X1771013_118_E10","X1771013",4798,1526,"8","8","mNbML","E11.5"
"X1772094_146_A01","X1772094",3964,1727,"8","8","mNbML","E11.5"
"X1771013_013_E09","X1771013",5291,1311,"5","5","mNbML","E11.5"
"X1772096_112_E10","X1772096",5235,1636,"5","5","mNbML","E13.5"
"X1771013_013_G01","X1771013",2943,939,"5","5","mNbML","E11.5"
"X1772094_166_F01","X1772094",4695,1816,"5","5","mNbML","E12.5"
"X1772094_163_C02","X1772094",4771,2037,"5","5","mNbML","E12.5"
"X1772066_085_C05","X1772066",5981,2294,"8","8","mNbML","E15.5"
"X1772094_161_C09","X1772094",6127,2275,"5","5","mNbML","E11.5"
"X1771013_013_D03","X1771013",3029,934,"5","5","mNbML","E11.5"
"X1772092_007_D03","X1772092",6811,2402,"8","8","mNbML","E11.5"
"X1772094_161_A04","X1772094",3568,1548,"5","5","mNbML","E11.5"
"X1772094_144_G08","X1772094",3016,1419,"9","9","mNbML","E11.5"
"X1772094_146_G04","X1772094",5717,2048,"5","5","mNbML","E11.5"
"X1771013_013_B11","X1771013",2716,1121,"5","5","mNbML","E11.5"
"X1771013_108_D04","X1771013",3144,1505,"8","8","mNbML","E12.5"
"X1772094_166_A11","X1772094",7872,3168,"5","5","mNbML","E12.5"
"X1771013_110_H10","X1771013",2918,1123,"5","5","mNbML","E11.5"
"X1772094_166_F06","X1772094",9267,2643,"8","8","mNbML","E12.5"
"X1772094_144_D06","X1772094",9332,2808,"8","8","mNbML","E11.5"
"X1771013_013_H08","X1771013",4773,1661,"5","5","mNbML","E11.5"
"X1772092_007_B12","X1772092",5014,1890,"5","5","mNbML","E11.5"
"X1771013_111_B03","X1771013",4224,2011,"8","8","mNbML","E11.5"
"X1771013_013_C03","X1771013",4247,1199,"5","5","mNbML","E11.5"
"X1772096_111_C06","X1772096",6242,2527,"11","11","mNbML","E13.5"
"X1772094_163_G08","X1772094",2981,1274,"5","5","mNbML","E12.5"
"X1772071_065_B08","X1772071",5988,1497,"5","5","mNbML","E13.5"
"X1772096_111_E11","X1772096",5979,2326,"11","11","mNbML","E13.5"
"X1772094_166_A05","X1772094",6156,2129,"5","5","mNbML","E12.5"
"X1771013_013_B12","X1771013",7371,1495,"5","5","mNbML","E11.5"
"X1772071_050_H05","X1772071",8941,3161,"5","5","mNbML","E12.5"
"X1771013_118_B02","X1771013",5894,1853,"5","5","mNbML","E11.5"
"X1772094_166_E05","X1772094",7653,2541,"5","5","mNbML","E12.5"
"X1772094_163_C06","X1772094",6613,2081,"5","5","mNbML","E12.5"
"X1772066_091_A06","X1772066",5263,1960,"3","3","mNbML","E14.5"
"X1772094_169_A10","X1772094",8908,3370,"8","8","mNbML","E12.5"
"X1772094_163_D06","X1772094",4109,1531,"5","5","mNbML","E12.5"
"X1772094_163_H11","X1772094",5564,1953,"5","5","mNbML","E12.5"
"X1772094_163_B01","X1772094",5507,1992,"5","5","mNbML","E12.5"
"X1772092_007_D09","X1772092",12588,3658,"5","5","mNbML","E11.5"
"X1772092_006_D07","X1772092",8331,2428,"5","5","mNbML","E11.5"
"X1772092_006_H11","X1772092",11706,3217,"5","5","mNbML","E11.5"
"X1772092_006_A02","X1772092",11486,3105,"5","5","mNbML","E11.5"
"X1772094_144_A08","X1772094",4355,1615,"5","5","mNbML","E11.5"
"X1772094_144_F07","X1772094",6149,2134,"5","5","mNbML","E11.5"
"X1772071_049_F04","X1772071",10467,2707,"5","5","mNbML","E12.5"
"X1772094_163_F12","X1772094",9136,2518,"5","5","mNbML","E12.5"
"X1772094_159_E01","X1772094",8500,2509,"5","5","mNbML","E11.5"
"X1772071_050_H12","X1772071",5960,2248,"5","5","mNbML","E12.5"
"X1772092_006_E10","X1772092",5066,1847,"5","5","mNbML","E11.5"
"X1772094_144_E05","X1772094",5042,1717,"5","5","mNbML","E11.5"
"X1772071_050_C12","X1772071",4607,1791,"5","5","mNbML","E12.5"
"X1772094_146_E09","X1772094",4632,1731,"5","5","mNbML","E11.5"
"X1772066_087_A01","X1772066",6920,2419,"7","7","mDA1","E14.5"
"X1772072_248_D11","X1772072",8596,3079,"7","7","mDA1","E18.5"
"X1772072_249_D01","X1772072",7400,3049,"7","7","mDA1","E18.5"
"X1772096_112_A11","X1772096",4309,1860,"7","7","mDA1","E13.5"
"X1772071_048_E02","X1772071",8836,3068,"7","7","mDA1","E15.5"
"X1772096_114_C02","X1772096",8008,2678,"7","7","mDA1","E13.5"
"X1772096_112_G04","X1772096",7758,2163,"7","7","mDA1","E13.5"
"X1772094_172_B08","X1772094",4923,1905,"7","7","mDA1","E14.5"
"X1772066_093_C03","X1772066",2702,1263,"7","7","mDA1","E14.5"
"X1772071_065_A11","X1772071",18965,3703,"7","7","mDA1","E13.5"
"X1772094_163_H04","X1772094",11586,3268,"7","7","mDA1","E12.5"
"X1772071_065_D12","X1772071",5713,1614,"7","7","mDA1","E13.5"
"X1772066_091_B04","X1772066",8716,2916,"7","7","mDA1","E14.5"
"X1772071_065_E10","X1772071",7301,2013,"11","11","mDA1","E13.5"
"X1772096_114_E12","X1772096",8617,2646,"14","14","mDA1","E13.5"
"X1772066_093_B12","X1772066",5563,2237,"7","7","mDA1","E14.5"
"X1772094_172_A06","X1772094",6857,2689,"7","7","mDA1","E14.5"
"X1772071_046_G11","X1772071",10058,3278,"7","7","mDA1","E15.5"
